Domain,category,Length,ExtensionScore,SpecialCharactersCount,DictionaryWordsBroken,EditDistance,AvgMonthlySearchVolume,IndividualWordsCount
oatzone.com,1,7,3,0,"['OAT', 'ZONE']",0,0,2
bluelightblocka.com,1,15,3,0,"['BLUE', 'LIGHT', 'BLOC', 'KA']",0,0,4
rg-in.com,1,5,3,1,"['RE', 'IN']",1,50,2
tlyxtz.com,1,6,3,0,[''],6,0,1
xn--n3cyb3a7c6c.com,1,15,3,6,"['IN', 'I', 'CAB', 'A', 'I', 'I']",5,0,6
motownwagerfund.com,1,15,3,0,"['MOTOWN', 'WAGER', 'FUND']",0,0,3
salon-apollo.com,1,12,3,1,"['SALON', 'APOLLO']",0,500,2
yybet9998.com,1,9,3,4,['YET'],2,0,1
agoraplc.com,1,8,3,0,"['AGORA', 'PLC']",0,0,2
bulutozelogretim.com,1,16,3,0,"['BU', 'LU', 'TO', 'ZEL', 'OGRE', 'TIM']",0,0,6
huanghechat.com,1,11,3,0,[''],11,0,1
dcz249.com,1,6,3,3,['DCI'],1,0,1
fortbendmortgage.com,1,16,3,0,"['FORT', 'BEND', 'MORTGAGE']",0,0,3
dydishop.com,1,8,3,0,"['DY', 'DI', 'SHOP']",0,0,3
supporthdfcbank.com,1,15,3,0,"['SUPP', 'ORTH', 'DFC', 'BANK']",0,0,4
tacklehomeenergy.com,1,16,3,0,"['TACKLE', 'HOME', 'ENERGY']",0,0,3
kktfd.com,1,5,3,0,[''],5,0,1
changeofcoinage.com,1,15,3,0,"['CHANG', 'EOF', 'COINAGE']",0,0,3
gnarlycurmudgeon.com,1,16,3,0,"['GNARLY', 'CURMUDGEON']",0,0,2
dominiquecat.com,1,12,3,0,"['DOMINIQUE', 'CAT']",0,0,2
brandonsellslasvegas.com,1,20,3,0,"['BRANDON', 'SELLS', 'LAS', 'VEGAS']",0,0,4
yyvip4683.com,1,9,3,4,['VIP'],2,0,1
pavimentos-obreja.com,1,17,3,1,"['PAVEMENTS', 'BREA']",4,50,2
sportsoddsnow.com,1,13,3,0,"['SPORTS', 'ODD', 'SNOW']",0,0,3
xingbieba.com,1,9,3,0,[''],9,0,1
rasamhouse.com,1,10,3,0,"['RA', 'SAM', 'HOUSE']",0,0,3
manualmamaecompleta.com,1,19,3,0,"['MA', 'NU', 'ALMA', 'MAE', 'COM', 'PL', 'ETA']",0,0,7
grcautogru.com,1,10,3,0,"['GR', 'CA', 'UT', 'OG', 'RU']",0,0,5
pooloye.com,1,7,3,0,['POOLE'],2,0,1
thinkuae.com,1,8,3,0,"['THIN', 'KU', 'AE']",0,0,3
lowkeyparis.com,1,11,3,0,"['LOWKEY', 'PARIS']",0,0,2
biddyboat.com,1,9,3,0,"['BIDDY', 'BOAT']",0,0,2
careerbrandaccelerator.com,1,22,3,0,"['CAREER', 'BRAND', 'ACCELERATOR']",0,0,3
callmyson.com,1,9,3,0,"['CALL', 'MY', 'SON']",0,0,3
sarthaksanskritiksangh.com,1,22,3,0,"['SAR', 'THAK', 'SANSKRIT', 'IK', 'SANGH']",0,0,5
szmigua.com,1,7,3,0,[''],7,0,1
betbrava.com,1,8,3,0,"['BET', 'BRAVA']",0,0,2
zafulcom.com,1,8,3,0,"['ZA', 'FUL', 'COM']",0,50,3
mywinningbid.com,1,12,3,0,"['MY', 'WINNING', 'BID']",0,0,3
eleonoracausin.com,1,14,3,0,"['EL', 'EO', 'NO', 'RAC', 'AU', 'SIN']",0,0,6
goodonlineproducts.com,1,18,3,0,"['GOOD', 'ONLINE', 'PRODUCTS']",0,0,3
vipsocialrecord.com,1,15,3,0,"['VIP', 'SOCIAL', 'RECORD']",0,0,3
sakirmedia.com,1,10,3,0,"['SA', 'KIR', 'MEDIA']",0,0,3
yoloways.com,1,8,3,0,"['YO', 'LO', 'WAYS']",0,0,3
parisienavenue.com,1,14,3,0,"['PARI', 'SI', 'EN', 'AVENUE']",0,0,4
53jjb.com,1,5,3,2,['JOB'],1,0,1
joker123xjudisakti.com,1,18,3,3,"['JOKER', '']",10,0,2
leadindiatvnews.com,1,15,3,0,"['LEAD', 'INDIA', 'TV', 'NEWS']",0,0,4
jlmyj.com,1,5,3,0,[''],5,0,1
peachtreeswimwear.com,1,17,3,0,"['PEACH', 'TREE', 'SWIMWEAR']",0,0,3
afxraclng.com,1,9,3,0,[''],9,0,1
iqrahzubair.com,1,11,3,0,[''],11,0,1
saycircle.com,1,9,3,0,"['SAY', 'CIRCLE']",0,0,2
riversss.com,1,8,3,0,"['RIVERS', 'SS']",0,50,2
nmshop9.com,1,7,3,1,"['NM', 'SHOP']",0,0,2
modavisit.com,1,9,3,0,"['MO', 'DA', 'VISIT']",0,0,3
tongsvip.com,1,8,3,0,"['TONGS', 'VIP']",0,0,2
elisabettamihali.com,1,16,3,0,"['ELI', 'SABE', 'TT', 'AMI', 'HA', 'LI']",0,0,6
nickyrenson.com,1,11,3,0,"['NICKY', 'REN', 'SON']",0,0,3
soflabuzz.com,1,9,3,0,"['SO', 'FL', 'ABUZZ']",0,0,3
rjbconsultancy.com,1,14,3,0,[''],14,0,1
mail-infraud.com,1,12,3,1,"['MAIL', 'FRAUD']",2,0,2
computing-museum.com,1,16,3,1,"['COMPUTING', 'MUSEUM']",0,5000,2
juan-for-ceo.com,1,12,3,2,"['JUAN', 'FOR', 'CEO']",0,0,3
creamlk.com,1,7,3,0,['CREAM'],2,0,1
aurimaglow.com,1,10,3,0,"['AU', 'RIM', 'AGLOW']",0,0,3
allcities-it.com,1,12,3,1,"['', 'IT']",9,0,2
hockeytra.com,1,9,3,0,"['HOCKEY', 'TRA']",0,0,2
foragemag.com,1,9,3,0,"['FORAGE', 'MAG']",0,0,2
bradenc.com,1,7,3,0,"['BRAD', 'ENC']",0,50,2
worldtalkbox.com,1,12,3,0,"['WORLD', 'TALK', 'BOX']",0,0,3
ameth-blog.com,1,10,3,1,"['METH', 'BLOG']",1,0,2
agenciafunnelsortiz.com,1,19,3,0,[''],19,0,1
ashfordheatingandair.com,1,20,3,0,"['ASH', 'FORD', 'HEATING', 'AND', 'AIR']",0,0,5
newjerseyattractions.com,1,20,3,0,"['NEW', 'JERSEY', 'ATTRACTIONS']",0,0,3
queerfatnudes.com,1,13,3,0,"['QUEER', 'FAT', 'NUDES']",0,0,3
justdrygoods.com,1,12,3,0,"['JUST', 'DRY', 'GOODS']",0,0,3
bobobonnet.com,1,10,3,0,"['BOBO', 'BONNET']",0,0,2
cleancommuteday.com,1,15,3,0,"['CLEAN', 'COMMUTE', 'DAY']",0,0,3
greenforenergy.com,1,14,3,0,"['GREEN', 'FOR', 'ENERGY']",0,0,3
applytoearn.com,1,11,3,0,"['APPLY', 'TO', 'EARN']",0,0,3
kingwoodshortsales.com,1,18,3,0,"['KINGWOOD', 'SHORT', 'SALES']",0,0,3
friendswithfitness.com,1,18,3,0,"['FRIEND', 'SWITH', 'FITNESS']",0,0,3
257650.com,1,6,3,6,[],0,50,1
hbdlhce.com,1,7,3,0,[''],7,0,1
eatprayflow.com,1,11,3,0,"['EAT', 'PRAY', 'FLOW']",0,0,3
easyvinylnz.com,1,11,3,0,"['EASY', 'VINYL', 'NZ']",0,0,3
powj.com,1,4,3,0,['POW'],1,50,1
lovest-kadokura.com,1,15,3,1,"['LOVEST', '']",8,0,2
9812o.com,1,5,3,4,['O'],0,0,1
sowoptik.com,1,8,3,0,"['SOW', 'OPT', 'IK']",0,0,3
togetherathomeconcert.com,1,21,3,0,"['TOGETHER', 'ATHOME', 'CONCERT']",0,50,3
onepercentcommercialrealty.com,1,26,3,0,"['ONE', 'PERCENT', 'COMMERCIAL', 'REALTY']",0,0,4
uvspecialists.com,1,13,3,0,"['UV', 'SPECIALISTS']",0,0,2
mashuriberbagi.com,1,14,3,0,"['MASH', 'URI', 'BER', 'BA', 'GI']",0,0,5
592128.com,1,6,3,6,[],0,0,1
dogfittings.com,1,11,3,0,"['DOG', 'FITTINGS']",0,0,2
headshots-newjersey.com,1,19,3,1,"['HEADSHOTS', '']",9,0,2
www-34432.com,1,9,3,6,['WOW'],1,0,1
floodtight.com,1,10,3,0,"['FLOOD', 'TIGHT']",0,0,2
jopermo.com,1,7,3,0,"['JO', 'PER', 'MO']",0,0,3
wp-csi.com,1,6,3,1,"['WE', 'CSI']",1,0,2
91tianhui.com,1,9,3,2,"['TI', 'AN', 'HUI']",0,0,3
pastodenuncias.com,1,14,3,0,"['PAS', 'TO', 'DEN', 'UNCI', 'AS']",0,0,5
letsshoplocally.com,1,15,3,0,"['LETS', 'SHOP', 'LOCALLY']",0,0,3
baoyenet4.com,1,9,3,1,"['BA', 'OY', 'EN', 'ET']",0,0,4
mx644.com,1,5,3,3,['MY'],1,50,1
yybet4216.com,1,9,3,4,['YET'],2,0,1
glocksecurityca.com,1,15,3,0,"['GL', 'OCK', 'SECURITY', 'CA']",0,0,4
m-droop.com,1,7,3,1,"['I', 'DROOP']",1,0,2
hd2k9n.com,1,6,3,2,"['HE', 'I', 'I']",3,0,3
g2437.com,1,5,3,4,['I'],1,50,1
notemailbox.com,1,11,3,0,"['NOTE', 'MAILBOX']",0,0,2
askpratz.com,1,8,3,0,[''],8,0,1
tnhash.com,1,6,3,0,"['TN', 'HASH']",0,0,2
frugalriviera.com,1,13,3,0,"['FRUGAL', 'RIVIERA']",0,0,2
syinvestgolderred.com,1,17,3,0,[''],17,0,1
amyl0022.com,1,8,3,4,['AMYL'],0,0,1
etitleresearch.com,1,14,3,0,"['ET', 'IT', 'LE', 'RESEARCH']",0,0,4
sharadaarts.com,1,11,3,0,"['SHARADA', 'ARTS']",0,0,2
fabdecor.com,1,8,3,0,"['FAB', 'DECOR']",0,500,2
useski.com,1,6,3,0,"['USE', 'SKI']",0,0,2
rickyssandiego.com,1,14,3,0,"['RICK', 'YS', 'SAN', 'DIEGO']",0,0,4
mrkunem.com,1,7,3,0,"['MR', 'KU', 'NEM']",0,0,3
coastaltransportllc.com,1,19,3,0,"['COASTAL', 'TRAN', 'SPOR', 'TL', 'LC']",0,0,5
ads-498t874gy76dfy98vgd987tw6trg.com,1,32,3,15,"['ADS', 'I', 'MY', 'DAY', 'VID', 'TO', 'TRY']",6,0,7
executiveluxurygroup.com,1,20,3,0,"['EXECUTIVE', 'LUXURY', 'GROUP']",0,0,3
mychinaf.com,1,8,3,0,"['MY', 'CHI', 'NAF']",0,0,3
horsemessparty.com,1,14,3,0,"['HORSE', 'MESS', 'PARTY']",0,0,3
thoughtlabpodcast.com,1,17,3,0,"['THOUGHT', 'LAB', 'POD', 'CAST']",0,0,4
kaufmanelectronicsstore.com,1,23,3,0,[''],23,0,1
reach-acclaim.com,1,13,3,1,"['REACH', 'ACCLAIM']",0,0,2
axbxmc.com,1,6,3,0,"['AX', 'BX', 'MC']",0,0,3
kriptometin2.com,1,12,3,1,[''],11,50,1
sfitwear.com,1,8,3,0,"['SF', 'IT', 'WEAR']",0,0,3
ftpxsync.com,1,8,3,0,[''],8,0,1
jaminya.com,1,7,3,0,"['JA', 'MIN', 'YA']",0,50,3
thegilmourgroupus.com,1,17,3,0,"['THE', 'GI', 'LM', 'OUR', 'GR', 'OU', 'PUS']",0,0,7
bangjieshao.com,1,11,3,0,"['BANG', 'JI', 'ES', 'HAO']",0,0,4
kohlipebeachresort.com,1,18,3,0,[''],18,0,1
qipai0508.com,1,9,3,4,['IPAD'],2,0,1
ywn31z.com,1,6,3,2,"['OWN', 'I']",2,0,2
lewisreedmagicchef.com,1,18,3,0,"['LEWIS', 'REED', 'MAGIC', 'CHEF']",0,0,4
whereareyouhiding.com,1,17,3,0,"['WHERE', 'ARE', 'YOU', 'HIDING']",0,0,4
ifindoubteatout.com,1,15,3,0,"['IF', 'IN', 'DOUB', 'TEA', 'TOUT']",0,0,5
yyvip4616.com,1,9,3,4,['VIP'],2,0,1
west-virginia-smiles.com,1,20,3,2,"['WEST', 'VIRGINIA', 'SMILES']",0,0,3
mymissionrealty.com,1,15,3,0,"['MY', 'MISSION', 'REALTY']",0,0,3
fraudandpayments.com,1,16,3,0,"['FRAU', 'DAND', 'PAYMENTS']",0,0,3
pfranagd.com,1,8,3,0,"['PF', 'RANA', 'GD']",0,0,3
gclub1689.com,1,9,3,4,"['GC', 'LUB']",0,0,2
gomsenergy.com,1,10,3,0,"['GO', 'MS', 'ENERGY']",0,0,3
80susu.com,1,6,3,2,['SUSS'],1,0,1
dom-sst.com,1,7,3,1,"['DOM', 'SET']",1,0,2
tastecharlottesville.com,1,20,3,0,"['TASTE', 'CHARLOTTESVILLE']",0,0,2
woodyswestcoast.com,1,15,3,0,"['WOO', 'DYS', 'WEST', 'COAST']",0,0,4
cptx000.com,1,7,3,3,"['CP', 'TX']",0,0,2
cursos-bolivia.com,1,14,3,1,"['CURSES', 'BOLIVIA']",1,500,2
foavo.com,1,5,3,0,"['FO', 'AVO']",0,50,2
iotarbitrage.com,1,12,3,0,"['IO', 'TAR', 'BIT', 'RAGE']",0,0,4
almanahilevents.com,1,15,3,0,"['ALMAN', 'AH', 'IL', 'EVENTS']",0,0,4
haha-project.com,1,12,3,1,"['HAHA', 'PROJECT']",0,50,2
hommegay.com,1,8,3,0,"['HOMME', 'GAY']",0,5000,2
floridanativephotography.com,1,24,3,0,"['FLORIDA', 'NATIVE', 'PHOTOGRAPHY']",0,0,3
trainacero.com,1,10,3,0,"['TR', 'AI', 'NA', 'CERO']",0,0,4
revinato.com,1,8,3,0,"['RE', 'VI', 'NATO']",0,0,3
sparkling-treasures.com,1,19,3,1,"['SPARKLING', 'TREASURES']",0,50,2
normalabs.com,1,9,3,0,"['NORMA', 'LABS']",0,50,2
estatesaletime.com,1,14,3,0,"['ESTATE', 'SALE', 'TIME']",0,0,3
mistressblade.com,1,13,3,0,"['MISTRESS', 'BLADE']",0,50,2
baconkids.com,1,9,3,0,"['BACON', 'KIDS']",0,0,2
yiqitaku.com,1,8,3,0,[''],8,0,1
olsonfilms.com,1,10,3,0,"['OLSON', 'FILMS']",0,0,2
nacapsula.com,1,9,3,0,"['NA', 'CAPSULA']",0,0,2
brainhygienetoday.com,1,17,3,0,"['BRAIN', 'HYGIENE', 'TODAY']",0,0,3
omahamoversblog.com,1,15,3,0,"['OMAHA', 'MOVER', 'SB', 'LOG']",0,0,4
chronologyfilms.com,1,15,3,0,"['CHRONOLOGY', 'FILMS']",0,0,2
5254165.com,1,7,3,7,[],0,0,1
zioematitos.com,1,11,3,0,[''],11,0,1
welcometoviennamovie.com,1,20,3,0,"['WELCOME', 'TO', 'VIENNA', 'MOVIE']",0,0,4
balimadu.com,1,8,3,0,"['BA', 'LIMA', 'DU']",0,50,3
hhpkwoca.com,1,8,3,0,"['HH', 'PK', 'WO', 'CA']",0,0,4
44ylgj.com,1,6,3,2,['YOGA'],2,0,1
xingye11111.com,1,11,3,5,"['XI', 'NG', 'YE']",0,0,3
lwplbd.com,1,6,3,0,"['LW', 'PL', 'BD']",0,0,3
radiatorsandcovers.com,1,18,3,0,"['RADIATOR', 'SAND', 'COVERS']",0,0,3
thebloomingtownie.com,1,17,3,0,"['THE', 'BLOOMING', 'TOWNIE']",0,0,3
cid-athome.com,1,10,3,1,"['CID', 'THOSE']",2,0,2
ethnicsafe.com,1,10,3,0,"['ETHNIC', 'SAFE']",0,0,2
dataindigo.com,1,10,3,0,"['DATA', 'INDIGO']",0,0,2
ls1audio.com,1,8,3,1,"['IS', 'AUDIO']",1,0,2
fancystuffsonline.com,1,17,3,0,"['FANCY', 'STUFFS', 'ONLINE']",0,0,3
howardreedscott.com,1,15,3,0,"['HO', 'WAR', 'DREED', 'SCOTT']",0,0,4
yl3424.com,1,6,3,4,['YA'],1,0,1
asikoglusportesisleri.com,1,21,3,0,[''],21,0,1
pieclutter.com,1,10,3,0,"['PIE', 'CLUTTER']",0,0,2
9286663.com,1,7,3,7,[],0,0,1
selfie-pop.com,1,10,3,1,"['SELFIE', 'POP']",0,5000,2
premierpetportraits.com,1,19,3,0,"['PREMIER', 'PET', 'PORTRAITS']",0,0,3
mosuitw.com,1,7,3,0,['MOSQUITO'],2,0,1
cmytube.com,1,7,3,0,[''],7,0,1
hoopjuicedrinks.com,1,15,3,0,"['HOOP', 'JUICE', 'DRINKS']",0,0,3
entrega-inmediata.com,1,17,3,1,"['ENTREAT', 'IMMEDIATE']",4,5000,2
igquotes.com,1,8,3,0,['QUOTES'],2,5000,1
co2registers.com,1,12,3,1,"['CO', 'REGISTERS']",0,0,2
angelampark.com,1,11,3,0,"['AN', 'GE', 'LAM', 'PARK']",0,0,4
9562r.com,1,5,3,4,['I'],1,0,1
inv4g.com,1,5,3,1,"['INV', 'I']",1,0,2
fastcarsa.com,1,9,3,0,"['FAST', 'CA', 'RSA']",0,0,3
efixmo.com,1,6,3,0,"['EF', 'IX', 'MO']",0,0,3
192pay.com,1,6,3,3,['PAY'],0,0,1
roebrospizza.com,1,12,3,0,"['ROE', 'BROS', 'PIZZA']",0,0,3
flowerx-arbya.com,1,13,3,1,"['FLOWERS', 'ARYA']",2,0,2
emiletanod.com,1,10,3,0,"['EMIL', 'ETA', 'NOD']",0,0,3
wacp07.com,1,6,3,2,"['WA', 'CP']",0,0,2
20iav.com,1,5,3,2,['NAV'],1,0,1
socialbotanists.com,1,15,3,0,"['SOCIAL', 'BOTANISTS']",0,0,2
nx0sjthy0mn9.com,1,12,3,3,"['NO', 'STAY', 'IN']",4,0,3
streetcarspeakeasyband.com,1,22,3,0,"['STREETCAR', 'SPEAKEASY', 'BAND']",0,0,3
sigprogram.com,1,10,3,0,"['SIG', 'PROGRAM']",0,0,2
taxcarehub.com,1,10,3,0,"['TAX', 'CARE', 'HUB']",0,0,3
gandiibaat.com,1,10,3,0,"['GAN', 'DI', 'IBA', 'AT']",0,500000,4
baglicadershane.com,1,15,3,0,"['BAG', 'LI', 'CADER', 'SHANE']",0,0,4
digitalmodify.com,1,13,3,0,"['DIGITAL', 'MODIFY']",0,0,2
assessoria-onlinequitacao.com,1,25,3,1,"['ASSESSOR', '']",16,0,2
exitodigi.com,1,9,3,0,"['EX', 'ITO', 'DI', 'GI']",0,0,4
shizuokaparco-showabeergarden.com,1,29,3,1,"['', '']",28,0,2
watchvsfoxon.com,1,12,3,0,"['WA', 'TC', 'HV', 'SF', 'OXON']",0,0,5
urgemedic.com,1,9,3,0,"['URGE', 'MEDIC']",0,50,2
mandarindoor.com,1,12,3,0,"['MANDAR', 'INDOOR']",0,0,2
scottdexter.com,1,11,3,0,"['SCOTT', 'DEXTER']",0,0,2
zameratextiles.com,1,14,3,0,"['ZA', 'ME', 'RA', 'TEXTILES']",0,0,4
organic-linens.com,1,14,3,1,"['ORGANIC', 'LINENS']",0,5000,2
andrewandtasha.com,1,14,3,0,"['AND', 'REWAN', 'DT', 'ASHA']",0,0,4
olohimaiakalumhe.com,1,16,3,0,"['OL', 'OH', 'IM', 'AI', 'AK', 'ALUM', 'HE']",0,0,7
readyforbabyy.com,1,13,3,0,[''],13,0,1
suryapropertyjogja.com,1,18,3,0,"['SURYA', 'PROPERTY', 'JOG', 'JA']",0,0,4
yl5927.com,1,6,3,4,['YA'],1,0,1
manhattanintercoms.com,1,18,3,0,"['MANHATTAN', 'INTERCOMS']",0,0,2
discounthealthcheck.com,1,19,3,0,"['DISCOUNT', 'HEALTH', 'CHECK']",0,0,3
s8s8com.com,1,7,3,2,"['I', 'I', 'COM']",2,0,3
canvascamptr.com,1,12,3,0,"['CAN', 'VA', 'SCAMP', 'TR']",0,0,4
meeting-app.com,1,11,3,1,"['MEETING', 'APP']",0,50000,2
thetathea.com,1,9,3,0,"['THETA', 'THEA']",0,0,2
haitivoices.com,1,11,3,0,"['HAITI', 'VOICES']",0,0,2
